Here's your **ultra-detailed feature breakdown** with access control for each role:

---

## 🔐 1. LOGIN

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 1.1 | Enter email | Any user | Type email into input field |
| 1.2 | Enter password | Any user | Type password (hidden dots) |
| 1.3 | Show/hide password | Any user | Click eye icon to see password |
| 1.4 | Click login button | Any user | Send credentials to server |
| 1.5 | Validate credentials | System | Check if email + password match database |
| 1.6 | Create session | System | Generate JWT token + store in cookies |
| 1.7 | Redirect to dashboard | Any user | Go to /dashboard after success |
| 1.8 | Show error | Any user | Display "Invalid email or password" |
| 1.9 | Rate limit attempts | System | Block after 5 failed attempts for 15 min |
| 1.10 | Remember me | Any user | Keep logged in for 30 days instead of 24hrs |

---

## 📝 2. SIGNUP

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 2.1 | Enter full name | Guest | Type first + last name |
| 2.2 | Enter email | Guest | Type unique email address |
| 2.3 | Enter password | Guest | Create password (min 8 chars) |
| 2.4 | Confirm password | Guest | Re-type password to match |
| 2.5 | Select role | Guest | Choose: Student / Alumni / Faculty |
| 2.6 | Enter student ID | Guest | Only if role = Student |
| 2.7 | Select campus | Guest | Choose from dropdown list |
| 2.8 | Upload profile photo | Guest | Optional image upload |
| 2.9 | Accept terms | Guest | Checkbox for Terms of Service |
| 2.10 | Click signup button | Guest | Send all data to server |
| 2.11 | Check email unique | System | Verify email not already used |
| 2.12 | Hash password | System | Encrypt password with bcrypt |
| 2.13 | Create user record | System | Save to database |
| 2.14 | Send verification email | System | Email with 6-digit code |
| 2.15 | Show success message | Guest | "Check your email for verification" |

---

## ✅ 3. EMAIL VERIFICATION

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 3.1 | Enter 6-digit code | New user | Type code from email |
| 3.2 | Click verify button | New user | Send code to server |
| 3.3 | Check code matches | System | Compare with database record |
| 3.4 | Check code not expired | System | Code valid for 15 minutes only |
| 3.5 | Mark email as verified | System | Set email_verified = true |
| 3.6 | Activate account | System | User can now login |
| 3.7 | Redirect to login | New user | Go to /login |
| 3.8 | Resend code | New user | Click "Resend" - new code emailed |
| 3.9 | Limit resends | System | Max 3 resends per hour |

---

## 🔓 4. FORGOT PASSWORD

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 4.1 | Click "Forgot Password" | Any user | Go to /forgot-password page |
| 4.2 | Enter email address | Any user | Type registered email |
| 4.3 | Click send button | Any user | Submit email to server |
| 4.4 | Check email exists | System | Verify email in database |
| 4.5 | Generate reset token | System | Create unique secure token |
| 4.6 | Store token with expiry | System | Save token (valid 1 hour) |
| 4.7 | Send reset email | System | Email with link containing token |
| 4.8 | Show confirmation | Any user | "Reset link sent to your email" |
| 4.9 | Hide if email not found | System | Same message (security - don't reveal) |

---

## 🔐 5. RESET PASSWORD

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 5.1 | Click email link | Any user | Opens /reset-password?token=xxx |
| 5.2 | Validate token | System | Check token exists + not expired |
| 5.3 | Show reset form | Any user | Display new password fields |
| 5.4 | Enter new password | Any user | Type new password |
| 5.5 | Confirm new password | Any user | Re-type to match |
| 5.6 | Click reset button | Any user | Submit new password |
| 5.7 | Hash new password | System | Encrypt before saving |
| 5.8 | Update user password | System | Replace old password hash |
| 5.9 | Invalidate token | System | Delete token so can't reuse |
| 5.10 | Invalidate all sessions | System | Force logout from all devices |
| 5.11 | Show success | Any user | "Password changed. Please login." |
| 5.12 | Redirect to login | Any user | Go to /login |

---

## 👤 6. VIEW PROFILE (OWN)

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 6.1 | Click profile icon | Logged in user | Navigate to /profile |
| 6.2 | Display name | User | Show full name |
| 6.3 | Display username | User | Show @username |
| 6.4 | Display bio | User | Show user's description |
| 6.5 | Display avatar | User | Show profile picture |
| 6.6 | Display join date | User | Show "Member since June 2024" |
| 6.7 | Display post count | User | Show total number of posts |
| 6.8 | Display follower count | User | Show number of followers |
| 6.9 | Display following count | User | Show number of following |
| 6.10 | Display user's posts | User | List of their own posts |
| 6.11 | Display edit button | User | Show pencil icon to edit |
| 6.12 | Display settings link | User | Link to /settings |

---

## ✏️ 7. EDIT PROFILE

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 7.1 | Click edit button | Profile owner | Switch to edit mode |
| 7.2 | Change name | Profile owner | Edit text field |
| 7.3 | Change username | Profile owner | Edit - check uniqueness live |
| 7.4 | Change bio | Profile owner | Textarea (max 150 chars) |
| 7.5 | Change avatar | Profile owner | Upload new image |
| 7.6 | Crop avatar | Profile owner | Drag square to select area |
| 7.7 | Add website link | Profile owner | Enter URL |
| 7.8 | Add location | Profile owner | Enter city/campus |
| 7.9 | Change cover photo | Profile owner | Upload banner image |
| 7.10 | Click save | Profile owner | Submit all changes |
| 7.11 | Validate username | System | Check not taken by other user |
| 7.12 | Validate image size | System | Avatar max 5MB |
| 7.13 | Optimize image | System | Compress to 500x500 |
| 7.14 | Save to storage | System | Upload to cloud storage |
| 7.15 | Update database | System | Save all new values |
| 7.16 | Show success | Profile owner | "Profile updated" toast |
| 7.17 | Cancel edit | Profile owner | Discard changes, exit edit mode |

---

## ⚙️ 8. CHANGE PASSWORD (while logged in)

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 8.1 | Go to Settings > Security | Logged in user | Navigate to password section |
| 8.2 | Enter current password | User | Verify identity |
| 8.3 | Enter new password | User | Min 8 chars, strength meter |
| 8.4 | Confirm new password | User | Must match new password |
| 8.5 | Click update button | User | Submit to server |
| 8.6 | Verify current password | System | Check matches database |
| 8.7 | Hash new password | System | Encrypt new password |
| 8.8 | Update database | System | Replace password hash |
| 8.9 | Show success | User | "Password updated" |
| 8.10 | Keep logged in | User | Session remains active |
| 8.11 | Wrong current password | System | Show error, no update |

---

## 🔒 9. ACCOUNT SETTINGS

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 9.1 | Privacy - Make profile private | User | Only followers see posts |
| 9.2 | Privacy - Hide email | User | Email not shown on profile |
| 9.3 | Privacy - Hide online status | User | Others can't see when online |
| 9.4 | Notifications - Email notifications | User | Receive email for activity |
| 9.5 | Notifications - Push notifications | User | Browser push alerts |
| 9.6 | Notifications - Message alerts | User | Notify when get DM |
| 9.7 | Notifications - Like alerts | User | Notify when someone likes post |
| 9.8 | Notifications - Comment alerts | User | Notify when someone comments |
| 9.9 | Notifications - Follow alerts | User | Notify when someone follows |
| 9.10 | Theme - Dark/Light mode | User | Switch color scheme |
| 9.11 | Language | User | Select preferred language |
| 9.12 | Delete account | User | Request account deletion |

---

## 🗑️ 10. DELETE ACCOUNT

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 10.1 | Click delete account | User | Opens confirmation modal |
| 10.2 | Enter password | User | Confirm identity |
| 10.3 | Check "I understand" | User | Confirm data loss accepted |
| 10.4 | Click permanently delete | User | Submit deletion request |
| 10.5 | Verify password | System | Check matches database |
| 10.6 | Soft delete user | System | Set deleted_at timestamp |
| 10.7 | Anonymize posts | System | Change post author to [Deleted User] |
| 10.8 | Delete personal data | System | Remove email, name, etc |
| 10.9 | Delete all sessions | System | Logout from all devices |
| 10.10 | Redirect to goodbye page | User | Show "Account deleted" message |
| 10.11 | Grace period | System | 30 days to restore before hard delete |

---

## 📝 11. CREATE POST

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 11.1 | Click create post | Logged in user | Open post composer modal |
| 11.2 | Type content | User | Write text (max 1000 chars) |
| 11.3 | Add images | User | Upload up to 5 images |
| 11.4 | Add hashtags | User | Type #topic (auto-suggest) |
| 11.5 | Tag friends | User | @mention other users |
| 11.6 | Add location | User | Tag campus location |
| 11.7 | Set visibility | User | Choose: Public / Friends / Only me |
| 11.8 | Schedule post | User | Pick future date/time |
| 11.9 | Click post button | User | Submit to server |
| 11.10 | Validate content | System | Check for profanity/spam |
| 11.11 | Upload images | System | Save to cloud storage |
| 11.12 | Process hashtags | System | Extract and save #tags |
| 11.13 | Process mentions | System | Create notifications for @users |
| 11.14 | Save post | System | Insert into posts table |
| 11.15 | Update feed | System | Add to followers' feeds |
| 11.16 | Show in profile | System | Post appears on user's profile |

---

## 📰 12. VIEW FEED

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 12.1 | Go to dashboard | Logged in user | Load /dashboard |
| 12.2 | Fetch posts | System | Get posts from followed users |
| 12.3 | Sort by recent | System | Newest posts first |
| 12.4 | Show 10 posts | System | Load first page |
| 12.5 | Scroll to load more | User | Infinite scroll triggers next page |
| 12.6 | Display each post | System | Show: author, content, images, date |
| 12.7 | Show like count | System | Number of likes on post |
| 12.8 | Show comment count | System | Number of comments |
| 12.9 | Show share count | System | Number of shares |
| 12.10 | Show if user liked | System | Highlight like button if liked |
| 12.11 | Click on post | User | Go to /post/:id |
| 12.12 | Refresh feed | User | Pull down to refresh |

---

## ❤️ 13. LIKE POST

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 13.1 | Click heart icon | Any logged in user | Toggle like |
| 13.2 | Send like request | System | POST /api/posts/:id/like |
| 13.3 | Check not already liked | System | Verify unique like |
| 13.4 | Add to likes table | System | Insert user_id + post_id |
| 13.5 | Increment post like count | System | posts.likes_count +1 |
| 13.6 | Update UI instantly | User | Heart turns red, count +1 |
| 13.7 | Create notification | System | Notify post owner "User liked your post" |
| 13.8 | Unlike if already liked | System | Remove like, count -1 |
| 13.9 | Cannot like own post | System | Show error, no action |

---

## 💬 14. COMMENT ON POST

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 14.1 | Click comment icon | Any logged in user | Open comment box |
| 14.2 | Type comment | User | Write text (max 500 chars) |
| 14.3 | Add image to comment | User | Optional image upload |
| 14.4 | Click post comment | User | Submit comment |
| 14.5 | Validate content | System | Check for spam/profanity |
| 14.6 | Save comment | System | Insert into comments table |
| 14.7 | Increment comment count | System | posts.comments_count +1 |
| 14.8 | Display comment | User | Show instantly under post |
| 14.9 | Create notification | System | Notify post owner "User commented" |
| 14.10 | Notify mentioned users | System | If @user, notify them |
| 14.11 | Delete comment | User (owner or admin) | Remove comment, count -1 |
| 14.12 | Edit comment | User (owner) | Update within 10 min window |
| 14.13 | Like a comment | Any user | Heart on comment |
| 14.14 | Reply to comment | Any user | Nested comment thread |

---

## 📤 15. SHARE POST

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 15.1 | Click share icon | Any logged in user | Open share options |
| 15.2 | Share to feed | User | Repost to own profile |
| 15.3 | Add own comment | User | Optional text with repost |
| 15.4 | Share to story | User | Post appears as story |
| 15.5 | Share in message | User | Send post link to chat |
| 15.6 | Copy link | User | Copy post URL to clipboard |
| 15.7 | Share externally | User | Share to WhatsApp/Twitter/etc |
| 15.8 | Save post | User | Bookmark for later |
| 15.9 | Report post | User | Flag inappropriate content |
| 15.10 | Increment share count | System | posts.shares_count +1 |

---

## 🔍 16. SEARCH

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 16.1 | Click search bar | Any user | Focus on input |
| 16.2 | Type query | Any user | Start typing keyword |
| 16.3 | Show suggestions | System | Dropdown with recent searches |
| 16.4 | Press Enter | User | Submit search |
| 16.5 | Search users | System | Find by name, username |
| 16.6 | Search posts | System | Find by content, hashtags |
| 16.7 | Search groups | System | Find groups by name |
| 16.8 | Filter by type | User | Tabs: Users / Posts / Groups |
| 16.9 | Filter by campus | User | Only show same campus |
| 16.10 | Sort by recent | User | Newest first |
| 16.11 | Sort by relevance | User | Best match first |
| 16.12 | Save search | System | Add to recent searches |
| 16.13 | Clear search history | User | Delete all recent searches |
